abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
IA,19,19,Iowa,2024-03-16,59649,-36.5,61,1.93,0.7,-0.1,0.6,-0.2,2024-03-16,-37.4%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,236,5.6,2024-03-21,11648,282.1,2024-03-16,2024-03-16,Region 7,-0.7,4.2,5.4,6.4,7491,18695,39439,NA,NA,2024-03-25 14:06:00
ID,16,16,Idaho,2024-03-16,30679,16.7,49,2.74,1.1,0.1,1.6,0.3,2024-03-16,9.0%,Stable (-9.9% to 9.9%),0.7%,Minimal (< 1.5%),NA,87,4.3,2024-03-21,5724,271.5,2024-03-16,2024-03-16,Region 10,-0.3,5.7,6.7,7.6,5921,14926,31511,NA,NA,2024-03-25 14:06:00
IL,17,17,Illinois,2024-03-16,252941,-18.6,424,3.35,1.4,-0.3,1.2,-0.2,2024-03-16,-22.1%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),1.7,652,4.3,2024-03-21,41895,272.7,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,30.8,0.4,2024-03-25 14:06:00
IN,18,18,Indiana,2024-03-16,150995,-18.1,194,2.88,1,-0.2,0.9,-0.2,2024-03-16,-24.1%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,456,5.8,2024-03-21,27084,341.3,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,NA,NA,2024-03-25 14:06:00
KS,20,20,Kansas,2024-03-16,61941,-30.3,85,2.92,0.8,-0.2,1,-0.3,2024-03-16,-23.4%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,176,4.9,2024-03-21,11008,311.6,2024-03-16,2024-03-16,Region 7,-0.7,4.2,5.4,6.4,7491,18695,39439,NA,NA,2024-03-25 14:06:00
KY,21,21,Kentucky,2024-03-16,165043,-24.3,190,4.25,1.5,-0.3,1.6,0.1,2024-03-16,-32.2%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,484,9.1,2024-03-21,21104,393.2,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,NA,NA,2024-03-25 14:06:00
LA,22,22,Louisiana,2024-03-16,102627,-26,188,4.04,1.4,-0.2,0.9,-0.3,2024-03-16,-30.1%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,238,4.6,2024-03-21,18194,340.4,2024-03-16,2024-03-16,Region 6,-1.2,4.8,6.9,8.1,8369,20891,50962,NA,NA,2024-03-25 14:06:00
MA,25,25,Massachusetts,2024-03-16,118537,-0.5,202,2.93,1.2,-0.3,1.4,-0.1,2024-03-16,-30.8%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),NA,446,5.1,2024-03-21,21980,247.1,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
MD,24,24,Maryland,2024-03-16,105025,-28.8,166,2.75,2,-0.4,1.6,-0.6,2024-03-16,-28.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),2.3,443,6.2,2024-03-21,19080,261.4,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,-17.9,-0.5,2024-03-25 14:06:00
ME,23,23,Maine,2024-03-16,17008,-3,32,2.38,1.6,-0.3,1.7,0.5,2024-03-16,-31.1%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,128,6.5,2024-03-21,3575,178.8,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
MI,26,26,Michigan,2024-03-16,211298,-16.9,373,3.73,1.9,-0.4,1.9,-0.4,2024-03-16,-31.8%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),1.7,719,5.7,2024-03-21,39300,309,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,-19,-0.4,2024-03-25 14:06:00
MN,27,27,Minnesota,2024-03-16,87460,-22.3,129,2.29,1.4,-0.2,0.9,0.2,NA,NA,NA,NA,NA,NA,383,5.5,2024-03-21,16449,237.9,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,NA,NA,2024-03-25 14:06:00
MO,29,29,Missouri,2024-03-16,143542,-30.1,230,3.75,2,-0.5,1.7,-0.3,NA,NA,NA,NA,NA,NA,359,4.6,2024-03-21,23409,301.9,2024-03-16,2024-03-16,Region 7,-0.7,4.2,5.4,6.4,7491,18695,39439,NA,NA,2024-03-25 14:06:00
MP,69,69,Northern Mariana Islands,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
MS,28,28,Mississippi,2024-03-16,59217,-35.9,84,2.82,1.3,-0.5,1.8,-0.7,2024-03-16,-33.3%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,276,8,2024-03-21,15428,445.6,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,NA,NA,2024-03-25 14:06:00
MT,30,30,Montana,2024-03-16,32211,-47.7,23,2.15,1,-0.3,0.6,-0.8,2024-03-16,-42.5%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),0,52,3.7,2024-03-21,4024,279.4,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,0,2024-03-25 14:06:00
NC,37,37,North Carolina,2024-03-16,183894,-33.6,364,3.47,2.4,-0.6,2.5,-0.5,2024-03-16,-31.6%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),2.5,817,6.7,2024-03-21,35635,284.9,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,-32.4,-1.2,2024-03-25 14:06:00
ND,38,38,North Dakota,2024-03-16,16549,-23.7,29,3.81,1.4,-0.3,0.6,0.2,2024-03-16,0.2%,Stable (-9.9% to 9.9%),0.9%,Minimal (< 1.5%),NA,37,4.1,2024-03-21,2733,293.1,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,NA,2024-03-25 14:06:00
NE,31,31,Nebraska,2024-03-16,35100,9.3,94,4.86,1.3,-0.1,1.9,-0.3,2024-03-16,-20.5%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,127,5.5,2024-03-21,6044,259.7,2024-03-16,2024-03-16,Region 7,-0.7,4.2,5.4,6.4,7491,18695,39439,NA,NA,2024-03-25 14:06:00
NH,33,33,New Hampshire,2024-03-16,20430,-29.4,36,2.65,1.1,-0.1,1.3,-0.4,2024-03-16,-41.5%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),0,96,5.2,2024-03-21,3498,190.3,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
NJ,34,34,New Jersey,2024-03-16,191219,-16.5,343,3.86,1.8,-0.5,1.5,-0.4,2024-03-16,-15.9%,Moderate Decrease (-19.9% to -10.0%),0.6%,Minimal (< 1.5%),1.5,634,5.4,2024-03-21,36555,312.5,2024-03-16,2024-03-16,Region 2,-1.1,3.5,5.1,5.7,4749,11764,22814,-37.5,-0.9,2024-03-25 14:06:00
NM,35,35,New Mexico,2024-03-16,41137,-34.3,46,2.19,1.1,-0.2,1.1,-0.3,2024-03-16,-22.9%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,111,4.3,2024-03-21,9670,373.7,2024-03-16,2024-03-16,Region 6,-1.2,4.8,6.9,8.1,8369,20891,50962,NA,NA,2024-03-25 14:06:00
NV,32,32,Nevada,2024-03-16,68372,-28,67,2.18,0.9,-0.1,1.4,-0.1,2024-03-16,-14.7%,Moderate Decrease (-19.9% to -10.0%),0.4%,Minimal (< 1.5%),NA,131,4,2024-03-21,12268,342.6,2024-03-16,2024-03-16,Region 9,-1.2,3.7,6.1,6.7,4246,10629,22816,NA,NA,2024-03-25 14:06:00
NY,36,36,New York,2024-03-16,419262,-17.6,623,3.2,1.6,-0.4,1.5,-0.3,2024-03-16,-21.5%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),1.8,1362,5.2,2024-03-21,84034,324.9,2024-03-16,2024-03-16,Region 2,-1.1,3.5,5.1,5.7,4749,11764,22814,-10,-0.2,2024-03-25 14:06:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,866,5.6,2024-03-21,43757,283.8,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.7,-0.5,2024-03-25 14:06:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,496,4.7,2024-03-21,40277,386.4,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0.2,2024-03-25 14:06:00
OH,39,39,Ohio,2024-03-16,283568,5.3,377,3.23,1,-0.1,1.1,0.1,2024-03-16,-25.8%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),2.2,800,5.4,2024-03-21,51675,347.3,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,83.3,1,2024-03-25 14:06:00
OK,40,40,Oklahoma,2024-03-16,116733,-23.2,156,3.94,1.7,-0.4,1.8,-1.1,NA,NA,NA,NA,NA,NA,345,7.5,2024-03-21,20307,443.1,2024-03-16,2024-03-16,Region 6,-1.2,4.8,6.9,8.1,8369,20891,50962,NA,NA,2024-03-25 14:06:00
OR,41,41,Oregon,2024-03-16,52031,3.9,134,3.18,1.9,0,1.7,0.3,2024-03-16,-10.9%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,178,3.5,2024-03-21,9832,187.1,2024-03-16,2024-03-16,Region 10,-0.3,5.7,6.7,7.6,5921,14926,31511,NA,NA,2024-03-25 14:06:00
PA,42,42,Pennsylvania,2024-03-16,268647,-22.9,388,3.03,1.3,-0.3,1.4,-0.4,2024-03-16,-25.7%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),1.7,995,5.6,2024-03-21,54965,307.9,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,13.3,0.2,2024-03-25 14:06:00
PR,72,72,Puerto Rico,2024-03-16,31773,48.1,80,2.5,0.7,0,0.8,-0.3,NA,NA,NA,NA,NA,0,170,2.8,2024-03-21,6753,127.7,2024-03-16,2024-03-16,Region 2,-1.1,3.5,5.1,5.7,4749,11764,22814,-100,-2.7,2024-03-25 14:06:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
RI,44,44,Rhode Island,2024-03-16,14827,-41.9,18,1.7,0.7,-0.1,0.4,0.2,2024-03-16,-48.5%,Substantial Decrease (< -19.9%),0.3%,Minimal (< 1.5%),NA,70,4.8,2024-03-21,4125,278.7,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-25 14:06:00
SC,45,45,South Carolina,2024-03-16,103776,-29.6,231,4.49,2.1,-0.3,1.8,0.2,2024-03-16,-28.1%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,402,6.5,2024-03-21,22138,342.3,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,NA,NA,2024-03-25 14:06:00
SD,46,46,South Dakota,2024-03-16,21276,-37.1,22,2.49,0.9,-0.2,0.6,-0.6,2024-03-16,-36.9%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),0,58,5.4,2024-03-21,3421,312.7,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,NA,2024-03-25 14:06:00
TN,47,47,Tennessee,2024-03-16,141073,-33.8,251,3.68,1.5,-0.3,1.3,-0.4,2024-03-16,-24.5%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),2.4,511,6.4,2024-03-21,29850,360.2,2024-03-16,2024-03-16,Region 4,-2.1,5.7,8.9,10.1,4356,14234,30008,50,0.8,2024-03-25 14:06:00
TX,48,48,Texas,2024-03-16,648489,-16.2,918,3.17,1.9,-0.3,2.2,-0.3,2024-03-16,-24.2%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,1132,4.2,2024-03-21,104809,364.9,2024-03-16,2024-03-16,Region 6,-1.2,4.8,6.9,8.1,8369,20891,50962,NA,NA,2024-03-25 14:06:00
USA,0,00,United States of America,2024-03-16,6891605,-20.9,10719,3.23,1.5,-0.3,1.5,-0.3,2024-03-16,-25.6%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),1.8,19427,4.9,2024-03-21,1185413,296.8,2024-03-16,2024-03-16,National,-0.8,4.6,6.1,7.2,74044,182813,394100,0,0,2024-03-25 14:06:00
UT,49,49,Utah,2024-03-16,51134,-33.6,75,2.34,0.9,-0.2,0.6,-0.2,2024-03-16,-25.2%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,79,2.9,2024-03-21,5737,205.4,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,NA,2024-03-25 14:06:00
VA,51,51,Virginia,2024-03-16,136839,-19,371,4.35,1.6,-0.4,1.6,-0.7,2024-03-16,-24.7%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),NA,614,6.2,2024-03-21,24865,247.9,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,NA,NA,2024-03-25 14:06:00
VI,78,78,Virgin Islands,2024-03-16,628,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16,2024-03-16,Region 2,-1.1,3.5,5.1,5.7,4749,11764,22814,NA,NA,2024-03-25 14:06:00
VT,50,50,Vermont,2024-03-16,7305,-44.4,10,1.6,0.9,-0.5,1.6,-0.7,2024-03-16,-61.3%,Substantial Decrease (< -19.9%),0.4%,Minimal (< 1.5%),0,58,6.3,2024-03-21,1155,132.1,2024-03-16,2024-03-16,Region 1,-1,3.6,5.1,6,4304,10528,22026,NA,NA,2024-03-25 14:06:00
WA,53,53,Washington,2024-03-16,85072,-16.7,189,2.48,1.5,-0.4,0.9,-0.4,2024-03-16,-18.9%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,342,4.1,2024-03-21,15901,183.5,2024-03-16,2024-03-16,Region 10,-0.3,5.7,6.7,7.6,5921,14926,31511,NA,NA,2024-03-25 14:06:00
WI,55,55,Wisconsin,2024-03-16,137285,-12.6,180,3.09,1.4,-0.2,1,-0.3,2024-03-16,-25.7%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,363,4.9,2024-03-21,17938,242.4,2024-03-16,2024-03-16,Region 5,-0.7,4.7,6.1,7.1,28142,64219,136996,NA,NA,2024-03-25 14:06:00
WV,54,54,West Virginia,2024-03-16,47430,-15.2,84,4.69,1.7,-0.4,2.2,-0.7,2024-03-16,-43.4%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),0,147,5.8,2024-03-21,9042,363.4,2024-03-16,2024-03-16,Region 3,-0.9,3.6,5.2,5.9,3242,9837,22930,NA,NA,2024-03-25 14:06:00
WY,56,56,Wyoming,2024-03-16,12166,42.9,10,1.73,0.5,0,1.1,0.1,2024-03-16,-9.2%,Stable (-9.9% to 9.9%),0.6%,Minimal (< 1.5%),0,44,6.4,2024-03-21,2247,319.5,2024-03-16,2024-03-16,Region 8,0.3,5,4.9,5.9,3224,7090,14598,NA,NA,2024-03-25 14:06:00
AK,2,02,Alaska,2024-03-09,10503,42.9,30,4.1,1.2,-0.2,1.3,0.5,2024-03-09,-19.8%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),0,19,NA,2024-03-14,1570,235.9,2024-03-09,2024-03-09,Region 10,-1.5,5.7,7.7,8.2,6465,16506,33422,NA,0,2024-03-18 14:01:00
AL,1,01,Alabama,2024-03-09,127787,-15,305,6.22,2.3,-0.5,2.7,-0.3,2024-03-09,-38.0%,Substantial Decrease (< -19.9%),1.4%,Minimal (< 1.5%),NA,344,5.6,2024-03-14,23060,370.4,2024-03-09,2024-03-09,Region 4,-2.3,7.3,10.1,11,4598,14071,32314,NA,NA,2024-03-18 14:01:00
AR,5,05,Arkansas,2024-03-09,72698,-3.8,176,5.83,1.7,0.1,2.6,0.5,2024-03-09,-17.1%,Moderate Decrease (-19.9% to -10.0%),1.2%,Minimal (< 1.5%),NA,217,5.9,2024-03-14,12989,349.8,2024-03-09,2024-03-09,Region 6,-2.5,5.1,8.2,9.4,7316,22979,60923,NA,NA,2024-03-18 14:01:00
AS,60,60,American Samoa,2024-03-09,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-18 14:01:00
AZ,4,04,Arizona,2024-03-09,164424,-15.9,185,2.54,1.1,-0.2,1.2,-0.3,2024-03-09,-24.0%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,354,3.8,2024-03-14,30525,333.6,2024-03-09,2024-03-09,Region 9,-2.6,4.9,7.2,7.7,2627,9207,21272,NA,NA,2024-03-18 14:01:00
CA,6,06,California,2024-03-09,669374,-14.2,1199,3.03,1.6,-0.3,1.1,-0.3,2024-03-09,-27.9%,Substantial Decrease (< -19.9%),0.5%,Minimal (< 1.5%),1.5,1641,3.8,2024-03-14,112513,254,2024-03-09,2024-03-09,Region 9,-2.6,4.9,7.2,7.7,2627,9207,21272,-11.8,-0.2,2024-03-18 14:01:00
CO,8,08,Colorado,2024-03-09,106193,-5.3,126,2.19,0.9,-0.2,1.1,-0.1,2024-03-09,-18.1%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),NA,199,3.4,2024-03-14,15593,257.7,2024-03-09,2024-03-09,Region 8,-0.4,4.5,5.8,6.4,3374,7331,15396,NA,NA,2024-03-18 14:01:00
CT,9,09,Connecticut,2024-03-09,72040,-6.4,162,4.54,1.9,-0.1,1.9,-0.2,2024-03-09,-21.3%,Substantial Decrease (< -19.9%),0.9%,Minimal (< 1.5%),0,238,4.9,2024-03-14,12817,262.6,2024-03-09,2024-03-09,Region 1,-0.7,4.8,5.8,6.8,3898,10954,23004,NA,NA,2024-03-18 14:01:00
DC,11,11,District of Columbia,2024-03-09,17960,10.2,54,7.65,1.9,-0.7,1.9,-0.4,2024-03-09,-23.5%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),0,27,4.2,2024-03-14,1938,291.5,2024-03-09,2024-03-09,Region 3,-1,4.7,6.8,6.8,4257,10246,23535,NA,NA,2024-03-18 14:01:00
DE,10,10,Delaware,2024-03-09,21855,-36.7,50,5.13,3,-0.3,3.8,0.6,2024-03-09,-20.1%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,104,8.2,2024-03-14,3648,273.5,2024-03-09,2024-03-09,Region 3,-1,4.7,6.8,6.8,4257,10246,23535,NA,NA,2024-03-18 14:01:00
FL,12,12,Florida,2024-03-09,606876,-17.3,1135,5.28,1.9,-0.2,2.5,-0.2,2024-03-09,-24.6%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),1.7,1220,3.6,2024-03-14,82743,257.2,2024-03-09,2024-03-09,Region 4,-2.3,7.3,10.1,11,4598,14071,32314,-26.1,-0.6,2024-03-18 14:01:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-18 14:01:00
GA,13,13,Georgia,2024-03-09,255118,-15,584,5.5,2.8,-0.5,3.6,-0.2,2024-03-09,-22.8%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),3.4,554,5.1,2024-03-14,37291,326.9,2024-03-09,2024-03-09,Region 4,-2.3,7.3,10.1,11,4598,14071,32314,6.2,0.2,2024-03-18 14:01:00
GU,66,66,Guam,2024-03-09,6264,NA,1,0.59,0.7,0.6,0,0,2024-03-09,-100.0%,Substantial Decrease (< -19.9%),0.0%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-18 14:01:00
HI,15,15,Hawaii,2024-03-09,22067,-26.7,77,5.44,1.8,-0.1,0.4,0,2024-03-09,-28.6%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),0,39,1.7,2024-03-14,2080,103.7,2024-03-09,2024-03-09,Region 9,-2.6,4.9,7.2,7.7,2627,9207,21272,NA,NA,2024-03-18 14:01:00
IA,19,19,Iowa,2024-03-09,59583,2.2,92,2.92,0.8,-0.1,0.9,-0.3,2024-03-09,-19.1%,Moderate Decrease (-19.9% to -10.0%),0.9%,Minimal (< 1.5%),NA,262,6.2,2024-03-14,11640,281.9,2024-03-09,2024-03-09,Region 7,-0.6,5.2,6.3,7.3,7889,20326,40406,NA,NA,2024-03-18 14:01:00
ID,16,16,Idaho,2024-03-09,30630,-38.2,42,2.35,1.1,-0.6,1.3,-0.9,2024-03-09,-37.5%,Substantial Decrease (< -19.9%),0.6%,Minimal (< 1.5%),NA,89,4.4,2024-03-14,5720,271.3,2024-03-09,2024-03-09,Region 10,-1.5,5.7,7.7,8.2,6465,16506,33422,NA,NA,2024-03-18 14:01:00
IL,17,17,Illinois,2024-03-09,252474,-16.3,499,3.94,1.7,-0.2,1.5,-0.4,2024-03-09,-27.4%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),1.3,697,4.6,2024-03-14,41856,272.4,2024-03-09,2024-03-09,Region 5,-1.3,5,6.8,8,18739,50640,123317,-18.8,-0.3,2024-03-18 14:01:00
IN,18,18,Indiana,2024-03-09,150802,-10.9,238,3.54,1.3,-0.2,1.1,-0.1,2024-03-09,-19.3%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,493,6.3,2024-03-14,27060,341,2024-03-09,2024-03-09,Region 5,-1.3,5,6.8,8,18739,50640,123317,NA,NA,2024-03-18 14:01:00
KS,20,20,Kansas,2024-03-09,61870,0,121,4.15,1.1,0,1.3,0.3,2024-03-09,-19.1%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,187,5.2,2024-03-14,10997,311.3,2024-03-09,2024-03-09,Region 7,-0.6,5.2,6.3,7.3,7889,20326,40406,NA,NA,2024-03-18 14:01:00
KY,21,21,Kentucky,2024-03-09,164853,-4.6,251,5.62,1.8,-0.2,1.6,-0.2,2024-03-09,-20.0%,Substantial Decrease (< -19.9%),1.5%,Low (1.5% to 2.9%),NA,502,9.5,2024-03-14,21067,392.5,2024-03-09,2024-03-09,Region 4,-2.3,7.3,10.1,11,4598,14071,32314,NA,NA,2024-03-18 14:01:00
LA,22,22,Louisiana,2024-03-09,102437,-13.4,252,5.42,1.7,-0.3,1.2,-0.3,2024-03-09,-24.3%,Substantial Decrease (< -19.9%),1.5%,Low (1.5% to 2.9%),NA,239,4.6,2024-03-14,18176,340,2024-03-09,2024-03-09,Region 6,-2.5,5.1,8.2,9.4,7316,22979,60923,NA,NA,2024-03-18 14:01:00
MA,25,25,Massachusetts,2024-03-09,118335,-31,203,2.95,1.4,-0.4,1.5,-0.4,2024-03-09,-27.7%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),2.4,472,5.4,2024-03-14,21966,246.9,2024-03-09,2024-03-09,Region 1,-0.7,4.8,5.8,6.8,3898,10954,23004,50,0.8,2024-03-18 14:01:00
MD,24,24,Maryland,2024-03-09,104855,-15.8,229,3.79,2.4,-0.5,2.3,-0.4,2024-03-09,-18.0%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),2.6,457,6.4,2024-03-14,19055,261.1,2024-03-09,2024-03-09,Region 3,-1,4.7,6.8,6.8,4257,10246,23535,-27.8,-1,2024-03-18 14:01:00
ME,23,23,Maine,2024-03-09,16980,-26,37,2.75,1.9,-1,1.3,-1.5,2024-03-09,-36.0%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),NA,142,7.2,2024-03-14,3567,178.4,2024-03-09,2024-03-09,Region 1,-0.7,4.8,5.8,6.8,3898,10954,23004,NA,NA,2024-03-18 14:01:00
MI,26,26,Michigan,2024-03-09,210925,-16.4,449,4.5,2.2,-0.3,2.2,0.1,2024-03-09,-21.6%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),2.4,775,6.1,2024-03-14,39271,308.7,2024-03-09,2024-03-09,Region 5,-1.3,5,6.8,8,18739,50640,123317,4.3,0.1,2024-03-18 14:01:00
MN,27,27,Minnesota,2024-03-09,87327,0.6,166,2.94,1.7,-0.1,0.7,-0.5,NA,NA,NA,NA,NA,NA,418,6,2024-03-14,16437,237.7,2024-03-09,2024-03-09,Region 5,-1.3,5,6.8,8,18739,50640,123317,NA,NA,2024-03-18 14:01:00
MO,29,29,Missouri,2024-03-09,143299,-16.6,316,5.15,2.5,-0.2,1.9,-0.4,NA,NA,NA,NA,NA,NA,396,5.1,2024-03-14,23398,301.8,2024-03-09,2024-03-09,Region 7,-0.6,5.2,6.3,7.3,7889,20326,40406,NA,NA,2024-03-18 14:01:00
MP,69,69,Northern Mariana Islands,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-18 14:01:00
MS,28,28,Mississippi,2024-03-09,59129,-2.3,127,4.27,1.7,-0.3,2.4,-0.5,2024-03-09,-34.9%,Substantial Decrease (< -19.9%),1.4%,Minimal (< 1.5%),4.4,289,8.4,2024-03-14,15414,445.2,2024-03-09,2024-03-09,Region 4,-2.3,7.3,10.1,11,4598,14071,32314,10,0.4,2024-03-18 14:01:00
